service_name_en,service_name_fr,external_internal,service_type,service_description_en,service_description_fr,authority_en,authority_fr,program_name_en,program_name_fr,client_target_groups,cra_business_number,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,owner_org,fiscal_yr,service_id_number,special_designations,service_url_en,service_url_fr,program_id_code,service_fee,use_of_sin,online_applications,web_visits_info_service,calls_received,in_person_applications,email_applications,fax_applications,postal_mail_applications,client_feedback,special_remarks_en,Org Name,Service_Unique_Identifier,New_Service_ID,Edited_Service_Name_EN,Edited_Service_Name_FR
Customs Brokers Licence Application,Agrément de courtier en douane,EX,REG,"Broker Examination: The CBSA administers the Customs Broker Professional Exam annually.  The CBSA must ensure that the Customs Broker Professional Exams are marked, recorded and mailed to candidates within four weeks from the date of the exam.     
Broker Licence: Applications for customs broker licences are sent to the CBSA, which must ensure that the applicant meets the requirements as stated under the Customs Brokers Licensing Regulations. If all regulatory requirements are satisfied, the CBSA will issue a customs broker licence.","L’ASFC administre l’examen de compétences professionnelles des courtiers en douane tous les ans. Elle doit veiller à ce que les examens soient notés et enregistrés, et à ce que les résultats soient postés aux candidats dans un délai de 4 semaines à compter de la date de l’examen. Lorsqu’une demande d’agrément de courtier en douane est envoyée à l’ASFC, celle-ci doit s’assurer que le demandeur répond aux exigences prévues par le Règlement sur l’agrément des courtiers en douane. S’il est répondu à toutes les exigences réglementaires, l’ASFC délivre l'agrément de courtier en douane",Customs Act,Loi sur les douanes, Trade Policy,Politique commerciale,ES,N,NA,N,N,N,N,Y,cbsa-asfc,2016-2017,8,8,,,1.7.2,Y,,0,,0,0,,,127,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-8,cbsa-asfc - 08,cbsa-asfc - Customs Broker Licencing and Examination Fee,
Release Prior to Payment Privilege,Privilège de la mainlevée avant le paiement,EX,REG,Importers and customs brokers post security with the CBSA to obtain release of goods with deferred accounting and payment privileges. The security and billing information is entered into the Customs Commercial System and new clients are issued an account security number. This service also includes changes to security where the client already has an account security number.,"Les importateurs et les courtiers en douane déposent une garantie auprès de l’ASFC pour obtenir le privilège de la mainlevée des marchandises avec déclaration en détail et paiement reportés. L’information sur la garantie et la facturation est entrée dans le Système des douanes pour le secteur commercial, et les nouveaux clients se voient attribuer un numéro de compte-garantie. Ce service comprend en outre les changements à la garantie pour le client qui possède déjà un numéro de compte-garantie.",Customs Act,Loi sur les douanes, Trade Policy,Politique commerciale,ES,Y,NA,N,N,N,N,N,cbsa-asfc,2016-2017,9,8,,,1.7.2,N,,0,,0,0,,,1104,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-9,cbsa-asfc - 09,cbsa-asfc - Release Prior to Payment Privilege,
Duties Relief Program Application,Exonération des droits,EX,REG,"The CBSA receives and processes Duties Relief Program applications that enable qualified companies to import goods without paying duties, as long as they eventually export the goods. Before export, companies can further manufacture or use the goods in a limited manner without having to pay duties.","L'ASFC reçoit et traite les demandes du Programme d'exonération des droits, qui permet aux entreprises admissibles d'importer des marchandises sans payer les droits, pourvu qu'elles exportent par la suite les marchandises. Avant de les exporter, les entreprises peuvent transformer ou utiliser les marchandises d'une manière limitée sans avoir à payer les droits sur celles-ci",Customs Tariff,Tarif des douanes,  Trade Compliance,Conformité dans les programmes commerciaux,ES,Y,NA,N,N,N,N,N,cbsa-asfc,2016-2017,10,8,,,1.7.3,N,,0,,0,0,,,26,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-10,cbsa-asfc - 10,cbsa-asfc - Duties Relief Program Application,
Duty Free Shop Licence Application,"Demandes d""agrément de boutique hors taxes",EX,REG,"An application to operate a duty free shop is sent to the CBSA and the CBSA must ensure that the applicant meets the requirements as stated under the Duty Free Shop Regulations. If all regulatory requirements are satisfied,  the CBSA will issue a licence to operate a duty free shop.","Lorsqu'une demande pour opérer à titre de boutique hors taxes est envoyée à l'ASFC, celle-ci doit s'assurer que le demandeur réponde aux exigences prévues par le Règlement sur les boutiques hors taxes. S'il a répondu à toutes les exigences réglementaires, l'ASFC délivre l'agrément pour opérer à titre de boutique hors taxes",Customs Act,Loi sur les douanes,  Trade Policy,Politique commerciale,ES,Y,NA,N,N,N,N,Y,cbsa-asfc,2016-2017,11,8,,,1.7.2,N,,0,,0,0,,,4,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-11,cbsa-asfc - 11,cbsa-asfc - Duty Free Shop Licence Application,
Coasting Trade Licence (CTL) Application,Demande de licence de cabotage,EX,LEG,Issuance of CBSA letters of authorization or denial in relation to CTL applications to obtain a licence for admission to the coasting trade of Canada.,Envoi de lettres d’autorisation ou de refus de l’ASFC en réponse aux demandes pour licence de cabotage visant à obtenir une licence d’admission pour fins de cabotage au Canada.,Coasting Trade Act,Loi sur le cabotage, Trade Policy,Politique commerciale,ES,N,NA,N,N,Y,N,Y,cbsa-asfc,2016-2017,12,8,,,1.7.2,N,,100,,0,0,,,0,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-12,cbsa-asfc - 12,cbsa-asfc - Coasting Trade Licence (CTL) Application,
Cultural Property Export Permits,Biens culturels - Délvrance des licences d'exportation,EX,REG,"The export of controlled cultural property is subject to a permit procedure, which is administered by designated permit issuing officers at specified CBSA offices across Canada.",L’exportation de biens culturels contrôlés est soumise à une procédure de délivrance des licences qui est administrée par des agents de délivrance de licenses désignés dans certains bureaux de l’ASFC au Canada.,Cultural Property Export and Import Act,Loi sur l'exportation et l'importation de biens culturels,  Admissibility Determination,Détermination de l'admissibilté,ES,N,NA,N,N,N,N,N,cbsa-asfc,2016-2017,13,8,,,1.3,N,,0,,0,0,,,0,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-13,cbsa-asfc - 13,cbsa-asfc - Cultural Property Export Permits,
Request for Assistance Application for Intellectual Property Rights (IPR),Demande d'aide de droits de propriété intellectuelle,EX,REG,"Intellectual property rights holders may make a Request for Assistance (RFA) to have the CBSA share information regarding suspected counterfeit and/or pirated goods.  Once the RFA is approved, the RFA permits the CBSA to share limited and specific information allowing the rights holder to seek legal remedy in civil court.  The RFA is valid for 2 years from approval and can be extended on request.","Les titulaires de droits de propriété intellectuelle peuvent déposer une demande d’aide (DA) pour que l’ASFC leur transmette des renseignements concernant des marchandises susceptibles d’avoir été contrefaites ou piratées. Une fois la DA approuvée, l’ASFC est autorisée à communiquer des renseignements précis et limités, permettant aux titulaires de droits d’exercer un recours judiciaire devant un tribunal civil. La DA est valide pendant deux ans suivant son approbation et il est possible d’en prolonger la durée sur demande.",Combating Counterfeit Products Act,Loi visant à combattre la contrefaçon de produits,  Admissibility Determination,Détermination de l'admissibilté,ES,N,NA,N,N,Y,NA,Y,cbsa-asfc,2016-2017,14,8,,,1.3,N,,39,,0,0,,,0,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-14,cbsa-asfc - 14,cbsa-asfc - Request for Assistance Application for Intellectual Property Rights (IPR),
"Commercial Processing (highway, air, rail, marine, postal and courier)","Traitement commercial (routier, aérien, ferrovaire,maritime, postaux et messageries)",EX,REG,"Importers and customs brokers must obtain a release decision of commercial goods from the CBSA. There are a number of activities that take place to complete this service, which include the submission and assessment of Advance Commercial Information, the submission and review of required permits, the presentation and examination of goods and the inbound movement of goods to warehousing facilities. This service is provided for the importation of goods at multiple points of entry by means of land, rail, air, marine, postal and courier.","Les importateurs et les courtiers en douanes doivent obtenir une décision de mainlevée des marchandises commerciales auprès de l’ASFC. Il existe un certain nombre d’activités complémentaires à ce service : la présentation et l’évaluation de l’information préalable sur les expéditions commerciales, des permis requis et des marchandises ainsi que l’entrée de marchandises dans les installations d’entreposage. Ce service est offert pour l’importation de marchandises à plusieurs bureaux d’entrée par mode routier, ferroviaire, aérien ou maritime, ou par la poste ou par messagerie.",Customs Act,Loi sur les douanes, Admissibility Determination,Détermination de l'admissibilté,ES,Y,NA,Y,Y,Y,NA,N,cbsa-asfc,2016-2017,15,7,,,1.3.1,N,,16068417,,0,1201742,,,0,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-15,cbsa-asfc - 15,"cbsa-asfc - Commercial Processing (highway, air, rail, marine, postal and courier). Release on Minimum Documentation (RMD) - Electronic Data Interchange (EDI).",
Processing Vehicle Import Forms 1 and 3,Traitment des formulaires d'importation de véhicles 1 et 3,EX,REG,"Clients importing vehicles into Canada for a temporary or permanent purpose are required to seek authorization.  CBSA processes vehicle import forms, on behalf of Transport Canada, and determines the admissibility of all vehicles at ports of entry.  The CBSA is responsible for ensuring  imported vehicles meet the requirements of the legislation and authorize the entry of the vehicle.","Les clients qui importent des véhicules au Canada, que ce soit de façon temporaire ou permanente, doivent demander l’autorisation. L’ASFC traite les formulaires d’importation de véhicules au nom de Transports Canada et détermine l’admissibilité de tous les véhicules aux bureaux d’entrée. L’ASFC est responsable de veiller à ce que les véhicules importés respectent les exigences de la loi et est responsable d’autoriser l’entrée du véhicule.",Motor Vehicle Safety Act and Motor Vehicle Safety Regulations,Loi sur la sécurité automobile/Règlement sur la sécurité des véhicules automobiles,Admissibility Determination,Détermination de l'admissibilté,ES,N,NA,NA,NA,NA,NA,NA,cbsa-asfc,2016-2017,16,8,,,1.3,N,,0,,0,23760,,,0,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-16,cbsa-asfc - 16,cbsa-asfc - Processing Vehicle Import Forms 1 and 3,
Casual Refunds,Remboursement pour les importations occasionnelles,EX,REG,The Casual Refund Centre receives a request for a refund with required supporting documentation and processes using the casual refund systems so that the client is issued a refund for duties and taxes paid on casual goods.,"Le Centre de remboursement pour les importations occasionnelles reçoit une demande de remboursement accompagnée des documents à l’appui requis, et traite cette demande au moyen du système de remboursement pour les importations occasionnelles, afin que les droits et les taxes payés sur les importations occasionnelles soient remboursés au client.",Customs Act,Loi sur les douanes, Trade Policy,Politique commerciale,PP,NA,NA,N,N,N,N,N,cbsa-asfc,2016-2017,17,8,,,1.7.2,N,,0,,0,0,,,152498,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-17,cbsa-asfc - 17,cbsa-asfc - Casual Refunds,
B2 Commercial Adjustments,Rajustements du secteur commercial (B2),EX,REG,"Requests for commercial refunds are received, reviewed and processed in the Customs Commercial System by select regional Trade Services Offices.  If approved, a credit is issued to the client.","Les demandes de remboursement du secteur commercial sont reçues, examinées et traitées dans le Système des douanes pour le secteur commercial par des bureaux sélectionnés des Services commerciaux dans les régions. Si la demande est approuvée, un crédit est émis au client.",Customs Act,Loi sur les douanes, Trade Policy,Politique commerciale,ES,Y,NA,N,N,N,N,N,cbsa-asfc,2016-2017,18,8,,,1.7.2,N,,0,,0,0,,,0,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-18,cbsa-asfc - 18,cbsa-asfc - B2 Commercial Adjustments,
Advance Rulings and National Customs Rulings,Décisions anticipées concernant le classement tarifaire et l'origine (accords de libre-échange) et décisions nationales des douanes (DND),EX,REG,"Section 43.1 of the Customs Act allows members of the trading community to request a binding ruling from the CBSA on the Free Trade Agreement (FTA) Origin, Tariff Classification, or Marking of goods imported from a North American Free Trade Agreement (NAFTA) country in advance of the importation of goods. The CBSA also issues NCRs for valuation purposes, for non-FTA origin goods and marking of goods imported from non-NAFTA countries. These services provide the importing trade community with a measure of predictability and certainty as to how goods are to be accounted for with the CBSA.","En vertu de l’article 43.1 de la Loi sur les douanes, les négociants peuvent demander à l’ASFC une décision exécutoire concernant l’origine dans le cas de marchandises d'un pays visé par un accord de libre-échange (ALE), le classement tarifaire ou le marquage de marchandises importées d’un pays de l'Accord de libre-échange nord-américain (ALENA), avant l’importation des marchandises. L’ASFC rend également des DND aux fins de l’établissement de la valeur, de l'origine dans le cas de marchandises d’un pays non visé par un ALE, et du marquage de marchandises importées d’un pays autre qu’un pays ALENA. Ces services offrent aux négociants un degré de prévisibilité et de certitude quant à la déclaration en détail des marchandises à faire à l’ASFC.",Customs Act,Loi sur les douanes,Trade Policy,Politique commerciale,ES,Y,NA,N,N,N,N,N,cbsa-asfc,2016-2017,19,8,,,1.7.2,N,,0,,0,0,,,1540,,,Canada Border Services Agency | Agence des services frontaliers du Canada,2016-2017-cbsa-asfc-19,cbsa-asfc - 19,cbsa-asfc - Advance Rulings and National Customs Rulings,
